0.920;0.092;0.099;0.449;0.945;0.084;2
0.865;0.318;0.117;0.245;0.937;0.274;2
0.927;0.158;0.084;0.311;0.965;0.118;2
1.000;0.000;0.000;0.442;0.986;0.000;2
0.802;0.346;0.268;0.520;0.887;0.298;2
0.886;0.314;0.079;0.087;0.949;0.273;2
0.874;0.288;0.180;0.272;0.951;0.229;2
0.922;0.217;0.109;0.303;0.987;0.154;1
0.786;0.681;0.274;0.000;0.915;0.600;1
0.000;0.696;0.394;0.222;0.848;0.643;1
0.922;0.229;0.112;0.304;0.982;0.158;1
0.970;0.159;0.076;0.319;0.036;0.102;1
0.827;0.518;0.207;0.111;0.028;0.457;1
0.755;0.551;0.288;0.302;0.885;0.489;1
0.635;0.446;0.476;0.693;0.802;0.428;3
0.597;0.480;0.555;0.810;0.780;0.447;3
0.630;0.465;0.537;0.762;0.789;0.429;3
0.447;1.000;1.000;1.000;0.000;1.000;3
0.988;0.116;0.147;0.6551;0.000;0.075;3
0.582;0.623;0.477;0.572;0.768;0.618;3
0.920;0.092;0.099;0.449;0.945;0.084;2
0.865;0.318;0.117;0.245;0.937;0.274;2
0.927;0.158;0.084;0.311;0.965;0.118;2
1.000;0.000;0.000;0.442;0.986;0.000;2
0.802;0.346;0.268;0.520;0.887;0.298;2
0.886;0.314;0.079;0.087;0.949;0.273;2
0.874;0.288;0.180;0.272;0.951;0.229;2
0.922;0.217;0.109;0.303;0.987;0.154;1
0.786;0.681;0.274;0.000;0.915;0.600;1
0.000;0.696;0.394;0.222;0.848;0.643;1
0.922;0.229;0.112;0.304;0.982;0.158;1
0.970;0.159;0.076;0.319;0.036;0.102;1
0.827;0.518;0.207;0.111;0.028;0.457;1
0.755;0.551;0.288;0.302;0.885;0.489;1
0.635;0.446;0.476;0.693;0.802;0.428;3
0.597;0.480;0.555;0.810;0.780;0.447;3
0.630;0.465;0.537;0.762;0.789;0.429;3
0.447;1.000;1.000;1.000;0.000;1.000;3
0.988;0.116;0.147;0.655;1.000;0.075;3
0.582;0.623;0.477;0.572;0.768;0.618;3
